"eval_counter";"datetime";"start_id";"objective_value";"best_value";"is_best";"n_rep_obj";"beta_Cancer centre (CLCC)";"beta_General public hospital (CH)";"beta_Non-profit facility (PSPH/EBNL)";"beta_Private";"beta_Regional/University hospital (CHR/U)";"inc_sim_Cancer centre (CLCC)";"inc_sim_General public hospital (CH)";"inc_sim_Non-profit facility (PSPH/EBNL)";"inc_sim_Private";"inc_sim_Regional/University hospital (CHR/U)";"sse_Cancer centre (CLCC)";"sse_General public hospital (CH)";"sse_Non-profit facility (PSPH/EBNL)";"sse_Private";"sse_Regional/University hospital (CHR/U)"
1;"2026-06-30 11:23:00";1;7.49103943479492;7.49103943479492;TRUE;5;0.04;0.04;0.04;0.04;0.04;2.06835951799892;1.47997149740268;1.58739492248014;1.69804256734549;1.94169650444171;2.45713892304507;0.944338152532568;0.833582144534201;1.19435898996319;2.06162122471989
2;"2026-06-30 11:27:40";1;12.7322493454587;7.49103943479492;FALSE;5;0.0551891864584486;0.04;0.04;0.04;0.04;3.25894353332508;1.48139779663719;1.55293154064102;1.67683456320116;2.00841673237682;7.60717290186634;0.947112258266411;0.771839237813655;1.14845369988911;2.25767124762315
3;"2026-06-30 11:32:50";1;9.44606409565983;7.49103943479492;FALSE;5;0.04;0.0551891864584486;0.04;0.04;0.04;2.1019032307872;2.19785588798612;1.5458037260817;1.69025570165618;1.95186983089838;2.56342541245069;2.8549340802403;0.759365848739086;1.17739960308907;2.09093915114068
4;"2026-06-30 11:38:51";1;9.60727724961039;7.49103943479492;FALSE;5;0.04;0.04;0.0551891864584486;0.04;0.04;2.19549735557189;1.47989632049458;2.22125904678385;1.71910599687331;1.97472050053611;2.87188677902325;0.944192048761808;2.39281088934875;1.24084172579173;2.15754580668484
5;"2026-06-30 11:44:27";1;10.2667006165529;7.49103943479492;FALSE;5;0.04;0.04;0.04;0.0551891864584486;0.04;2.21267583527858;1.47242404242215;1.53462579824682;2.49225363200393;1.95689404740045;2.93040538861345;0.929726326483862;0.740009544438197;3.5610648485614;2.10549450845597
6;"2026-06-30 11:50:02";1;11.7097994716174;7.49103943479492;FALSE;5;0.04;0.04;0.04;0.04;0.0551891864584486;2.15776475622769;1.46668598793936;1.52223888723498;1.674017304782;2.99270891462671;2.74542235688413;0.918693721557785;0.718851595052444;1.14242335434604;6.18440844377696
7;"2026-06-30 11:55:33";1;8.63632761192274;7.49103943479492;FALSE;5;0.0289911865471078;0.0454964584702411;0.0454964584702411;0.0454964584702411;0.0454964584702411;1.46142129808125;1.73586310649402;1.74030287430028;1.97477113225689;2.29317137914458;0.922729595549131;1.50715456722928;1.13617510770698;1.87579290155009;3.19447543988727
8;"2026-06-30 12:01:59";1;8.75140326035543;7.49103943479492;FALSE;5;0.0340535969008314;0.0440553029030128;0.0440553029030128;0.0440553029030128;0.0440553029030128;1.82298698586974;1.652338658546;1.7327105584721;1.89485016264181;2.21201322163279;1.74809077302059;1.30905127947323;1.12004722203189;1.66326139993574;2.91095258589398
9;"2026-06-30 12:08:37";1;8.39532160911641;7.49103943479492;FALSE;5;0.0351675724616356;0.0479010057136738;0.0479010057136738;0.0479010057136738;0.0305234086153659;1.8800385546981;1.81209906214235;1.94823567084785;2.12116786566716;1.43969335852113;1.90220755597965;1.70015049580747;1.62268859176893;2.29823363384161;0.872041331718741
10;"2026-06-30 12:14:27";1;8.38817535842269;7.49103943479492;FALSE;5;0.0363179888587392;0.0457902981895444;0.0457902981895444;0.0457902981895444;0.0353947028794342;1.96442107110721;1.75809342954268;1.77422892863344;2.00982698988911;1.73107900216888;2.14208961090901;1.56223141072164;1.20965067547899;1.97304653176235;1.50115712955069
11;"2026-06-30 12:19:57";1;8.17811276663846;7.49103943479492;FALSE;5;0.0338350724589685;0.050562672890959;0.050562672890959;0.0322194722708142;0.0401031367631763;1.77712478352688;1.97650940052129;1.96034484025166;1.31180611945688;2.00260815797994;1.62892034087247;2.15592994117927;1.6536857049195;0.499327196429372;2.24024958323784
12;"2026-06-30 12:26:41";1;7.68574754762566;7.49103943479492;FALSE;5;0.03528095489454;0.0476856290227472;0.0476856290227472;0.0368597440421223;0.0400773276682092;1.73416951193543;1.82268890695734;1.82163819721703;1.53837253870101;2.00576492831193;1.5211185884962;1.72787879964209;1.31618364836914;0.870857193848856;2.24970931726937
13;"2026-06-30 12:32:22";1;8.1994442862828;7.49103943479492;FALSE;5;0.0321780147736956;0.0542451648999;0.0345660244284788;0.0430238581613972;0.0401341296172756;1.71865554270067;2.13307277644434;1.31440331058236;1.83290613223466;1.97528385410826;1.48309138690143;2.64020871277003;0.40961995110878;1.50732313788754;2.15920109761502
14;"2026-06-30 12:37:21";1;7.79763523098637;7.49103943479492;FALSE;5;0.0339769532706031;0.0502673248253774;0.0388553273746642;0.0422471106980671;0.040100555105929;1.70742789430944;1.9745187338668;1.49978007786795;1.8309090617935;1.9228940536634;1.4558708836713;2.15008807827208;0.681272537875794;1.50242339603827;2.00798033512893
15;"2026-06-30 12:42:26";1;7.00203512127706;7.00203512127706;TRUE;5;0.03014456515196;0.037873875329483;0.0471410949665242;0.0439748292351971;0.0401744561388604;1.56595104389826;1.38605445741628;1.79235131535957;1.88190054716991;1.99484200378202;1.13447613379561;0.770626921165443;1.24984259167619;1.6300275038745;2.21706197076531
16;"2026-06-30 12:47:28";1;7.09955773038306;7.00203512127706;FALSE;5;0.0261687838125196;0.0313749196149695;0.051176373003168;0.0461079960020424;0.0402619693288279;1.38995285805117;1.10311825026095;2.06289651203493;1.99698979396816;1.95154255814182;0.790533860164519;0.353926689489574;1.92795665453791;1.93714774599468;2.08999278019638
17;"2026-06-30 12:52:33";1;7.34016979426496;7.00203512127706;FALSE;5;0.0422454788711436;0.042693426037434;0.0420388565883021;0.0381396926819932;0.0336063519785481;2.28662629007311;1.60899873035875;1.5701790357804;1.61839505039342;1.55956968934703;3.18905714901302;1.21175592965355;0.802442074317817;1.02661437933774;1.11030026194283
18;"2026-06-30 12:57:39";1;7.7814454303097;7.00203512127706;FALSE;5;0.0384504720261652;0.0433775634111583;0.0428778074132018;0.0398590817906297;0.0362502016425797;2.18810542862517;1.59958298300961;1.66126896818404;1.68163742792177;1.77501009708882;2.84688775155271;1.19111491687805;0.973934590184554;1.15877083688753;1.61073733480686
19;"2026-06-30 13:02:44";1;6.51183060605971;6.51183060605971;TRUE;5;0.0358251333248576;0.041247738408845;0.0403650955212751;0.0352227123717239;0.0423110626296643;1.69147299236743;1.53795080504452;1.52227548443817;1.45498792699397;2.11605659122622;1.41762324082059;1.06038492898907;0.718913654354398;0.722181598919883;2.59272718297577
