"","fi","an","fi_ej","rs","grp","stjr","cat","dep","reg","espic","COMINSEE","DISCI","DISCIPLINE","LIT","SEJHC","JOU","PLA","SEJHP","PAS","SEJACC","IVG","SEHEM","SERAD","SECHI"
"1","010000024",2024,"010780054","CH DE FLEYRIAT","04",1,355,"01","84",1,"01451",21100,"Médecine",239,11485,81994,22,4404,48373,NA,NA,10936,20587,11383
"2","010000024",2024,"010780054","CH DE FLEYRIAT","04",1,355,"01","84",1,"01451",21200,"Chirurgie",68,3819,19507,20,3871,NA,NA,NA,NA,NA,NA
"3","010000024",2024,"010780054","CH DE FLEYRIAT","04",1,355,"01","84",1,"01451",21300,"Gynéco-Obstétrique",36,3507,10297,4,669,NA,1774,498,NA,NA,NA
"4","010000024",2024,"010780054","CH DE FLEYRIAT","04",1,355,"01","84",1,"01451",23000,"Hospitalisation à domicile",NA,NA,11113,45,571,NA,NA,NA,NA,NA,NA
"5","010000024",2024,"010780054","CH DE FLEYRIAT","04",1,355,"01","84",1,"01451",24000,"Soins de suite et réadaptation",42,487,17264,17,3486,NA,NA,NA,NA,NA,NA
"6","010000024",2024,"010780054","CH DE FLEYRIAT","04",1,355,"01","84",1,"01451",25000,"Soins de longue durée",60,71,20861,NA,NA,NA,NA,NA,NA,NA,NA
"7","010000032",2024,"010780062","CH BUGEY SUD","04",1,355,"01","84",1,"01034",21100,"Médecine",56,2938,17658,8,150,12187,NA,NA,NA,NA,851
"8","010000032",2024,"010780062","CH BUGEY SUD","04",1,355,"01","84",1,"01034",21200,"Chirurgie",19,953,3895,8,1748,NA,NA,NA,NA,NA,NA
"9","010000032",2024,"010780062","CH BUGEY SUD","04",1,355,"01","84",1,"01034",21300,"Gynéco-Obstétrique",8,389,1371,1,78,NA,309,77,NA,NA,NA
"10","010000032",2024,"010780062","CH BUGEY SUD","04",1,355,"01","84",1,"01034",24000,"Soins de suite et réadaptation",40,401,14136,8,2356,NA,NA,NA,NA,NA,NA
"11","010000065",2024,"010780096","CH DE TREVOUX - MONTPENSIER","04",1,355,"01","84",1,"01427",21100,"Médecine",59,2201,20149,NA,0,NA,NA,NA,NA,NA,NA
"12","010000065",2024,"010780096","CH DE TREVOUX - MONTPENSIER","04",1,355,"01","84",1,"01427",21300,"Gynéco-Obstétrique",NA,0,0,NA,0,NA,0,64,NA,NA,NA
"13","010000065",2024,"010780096","CH DE TREVOUX - MONTPENSIER","04",1,355,"01","84",1,"01427",24000,"Soins de suite et réadaptation",73,740,24308,NA,0,NA,NA,NA,NA,NA,NA
"14","010000081",2024,"010780112","CH DU PAYS DE GEX","04",1,106,"01","84",1,"01173",24000,"Soins de suite et réadaptation",20,157,6814,NA,0,NA,NA,NA,NA,NA,NA
"15","010000081",2024,"010780112","CH DU PAYS DE GEX","04",1,106,"01","84",1,"01173",25000,"Soins de longue durée",30,23,9185,NA,NA,NA,NA,NA,NA,NA,NA
