finess;annee;mois;finessGeo;num_UM;type_UM;mode_hospit;date_deb;nblit
010007300;2024;12;010007300;0005;53;P;01/01/2006;2
010007300;2024;12;010007300;0004;53;P;01/01/2006;1
010007300;2024;12;010007300;0001;53;P;01/01/2006;1
010007300;2024;12;010007300;0002;53;P;01/01/2006;1
010007300;2024;12;010007300;0003;53;P;01/01/2006;1
010007987;2024;12;010000214;0003;29;C;01/01/2018;0
010007987;2024;12;010000180;0004;29;C;01/01/2018;0
010007987;2024;12;010000214;0001;27;C;01/07/2015;0
010007987;2024;12;010000214;0002;29;C;01/01/2018;0
010007987;2024;12;010000214;0005;29;C;01/03/2024;0
010008407;2024;12;010005239;0001;71;C;01/01/2007;0
010008407;2024;12;010005239;0009;53;C;01/01/2007;0
010008407;2024;12;010005239;0019;29;C;01/01/2007;0
010008407;2024;12;010005239;0016;07A;C;01/09/2017;0
010008407;2024;12;010005239;0016;29;C;01/01/2007;0
010008407;2024;12;010005239;0005;29;P;01/01/2007;0
010008407;2024;12;010005239;0008;53;P;01/01/2007;0
010008407;2024;12;010005239;0020;53;C;01/01/2007;0
010008407;2024;12;010005239;0032;53;P;01/01/2007;0
010008407;2024;12;010005239;0004;53;P;01/01/2007;0
010008407;2024;12;010005239;0002;03A;C;01/07/2022;4
010008407;2024;12;010005239;0002;03A;C;19/04/2020;3
010008407;2024;12;010005239;0002;03A;C;01/03/2020;2
010008407;2024;12;010005239;0002;03A;C;01/01/2007;4
010008407;2024;12;010005239;0012;71;C;01/01/2007;0
010008407;2024;12;010005239;0026;53;P;01/01/2007;0
010008407;2024;12;010005239;0006;53;C;01/01/2007;0
010008407;2024;12;010005239;0031;29;P;01/01/2007;0
010008407;2024;12;010005239;0024;53;P;01/04/2021;0
010008407;2024;12;010005239;0025;53;P;01/04/2021;0
010008407;2024;12;010005239;0010;70;P;01/01/2007;0
010008407;2024;12;010005239;0027;29;C;03/02/2020;0
010008407;2024;12;010005239;0014;27;C;01/01/2013;0
010008407;2024;12;010005239;0022;28;C;01/01/2007;0
010008407;2024;12;010005239;0017;28;P;01/01/2007;0
010008407;2024;12;010005239;0028;71;P;01/01/2007;0
010008407;2024;12;010005239;0015;28;C;01/01/2007;0
010008407;2024;12;010005239;0018;73;C;01/01/2007;0
010008407;2024;12;010005239;0011;29;P;14/05/2019;0
010008407;2024;12;010005239;0021;70;C;01/01/2007;0
010008407;2024;12;010005239;0007;53;C;01/01/2021;0
010008407;2024;12;010005239;0007;07A;C;01/09/2017;0
010008407;2024;12;010005239;0007;53;C;01/01/2007;0
010008407;2024;12;010005239;0023;73;P;01/01/2007;0
010009132;2024;12;010000115;0001;27;C;01/01/2012;12
010009132;2024;12;010000131;0002;27;C;01/01/2012;8
010780054;2024;12;010000024;0049;19;C;09/12/2009;12
010780054;2024;12;010000024;0063;29;C;01/02/2021;0
010780054;2024;12;010000024;0065;01A;C;01/01/2005;12
010780054;2024;12;010000024;0061;29;C;01/01/2012;23
010780054;2024;12;010000024;0020;08;C;01/01/2015;10
010780054;2024;12;010000024;0017;14A;C;01/11/2010;4
010780054;2024;12;010000024;0042;28;C;01/01/2012;18
010780054;2024;12;010000024;0008;04;C;01/04/2012;9
010780054;2024;12;010000024;0007;05;C;01/01/2011;6
010780054;2024;12;010000024;0038;71;C;01/01/2012;0
010780054;2024;12;010000024;0015;29;C;01/01/2012;18
010780054;2024;12;010000024;0050;40;C;01/01/2012;7
010780054;2024;12;010000024;0043;29;C;01/01/2012;13
