finess,finessgeo,coordxet,coordyet
010780054,010000024,870262.2,6571540.8
010780062,010000032,908313.3,6520061.2
010780096,010000065,837272.3,6539470.4
010780112,010000081,935221.3,6584833.3
010780120,010000099,870118.2,6536469.4
010780138,010000107,849456.3,6594357.1
010009132,010000115,845008.9,6575135.4
010009132,010000131,839202.4,6565176.1
010007987,010000180,902062.6,6545106.1
010007987,010000198,902062.6,6545106.1
010007987,010000214,902062.6,6545106.1
010783009,010000495,871779.2,6571722.1
010790368,010001246,849751.4,6581477.7
010785897,010001261,861843.3,6600001.5
010784270,010001295,871756.1,6567453
010001352,010001360,863648.5,6568876.7
010009132,010001436,845556.3,6575472.2
010001725,010001733,872835.2,6569568.1
010785897,010001741,928035.1,6571964
690793567,010002079,861126.7,6530176.4
310025010,010002129,872104.2,6568487.4
690035159,010002160,862203,6583521.2
920032380,010002228,881321.1,6542460.7
010783009,010002236,871662.8,6570014.5
010783009,010002244,871186.9,6568631.6
010783009,010002251,851167.8,6559618.9
010000735,010002269,852370.7,6527069.8
010002277,010002285,882630,6542639
010002293,010002301,882541.7,6542876
750719239,010002319,870683,6575343.8
010002327,010002335,881397.1,6543082.5
010002343,010002350,881530.3,6542165.1
010002376,010002384,847338,6545797
010002392,010002400,882571,6547673.4
010002426,010002434,904836.3,6578080.3
690039904,010002459,870717.7,6568834.5
010002442,010002467,840947.6,6545347.1
010002475,010002483,909073.8,6533958.2
010002491,010002517,866241,6578633.2
010002525,010002533,849294.7,6580960.8
010002541,010002566,902924.4,6575750.4
010002574,010002582,864845.5,6530027.1
010002590,010002616,917093.9,6562037.4
010002624,010002632,918201.6,6560287.7
010002640,010002657,918199.8,6560460.5
010002665,010002673,918041.7,6560142.1
010002681,010002707,918339.4,6560346.3
010002715,010002723,909011.9,6521295.1
010002731,010002756,908776.3,6521310
010002764,010002772,909540.3,6521285.1
010009033,010002798,871409.3,6568805.7
010002780,010002806,908796.1,6521432.2
010002814,010002822,855236.4,6528131
010783009,010002848,870665.3,6569218.9
010002830,010002855,858472.1,6529464
010002913,010002921,872772.1,6569594.3
010002947,010002954,873101.2,6570948
010002962,010002970,872260.2,6569005.1
010002996,010003002,871674.1,6569658.7
010003010,010003036,872163.5,6570179.2
010003044,010003051,871083.8,6569131.7
010003028,010003069,871626.5,6570058
010003077,010003085,871213.1,6569988.5
