"","method","run","group","beta","beta_lo","beta_hi","flag"
"1","regression","total_4yr","long_term",0.018771871684116,0.00213648406179709,0.164936014654147,"WARN c1>=0"
"2","regression","year_2019","long_term",0.0197865955451779,0.00289514063232992,0.135229825762687,"WARN c1>=0"
"3","regression","year_2020","long_term",0.0183154625964075,0.00189452651825686,0.177065967083456,"WARN c1>=0"
"4","regression","year_2021","long_term",0.0185832690995478,0.0020531505037842,0.168199014046807,"WARN c1>=0"
"5","regression","year_2022","long_term",0.0181350667468391,0.00166570610070541,0.197442181290585,"WARN c1>=0"
"6","regression","total_4yr","short_term",NA,NA,NA,"neg/zero slope -0.047"
"7","regression","year_2019","short_term",NA,NA,NA,"neg/zero slope -0.093"
"8","regression","year_2020","short_term",NA,NA,NA,"neg/zero slope -0.012"
"9","regression","year_2021","short_term",0.0155679892229091,0.00272428946964675,0.1275732843488,"ok"
"10","regression","year_2022","short_term",NA,NA,NA,"neg/zero slope -0.029"
"11","regression_bytype","total_4yr","General public hospital",NA,NA,NA,"neg/zero slope -1.045"
"12","regression_bytype","total_4yr","Private for profit hospital",NA,NA,NA,"neg/zero slope -0.758"
"13","regression_bytype","total_4yr","Private not-for-profit hospital",NA,NA,NA,"neg/zero slope -0.202"
"14","regression_bytype","total_4yr","Rehabilitation hospital",0.018771871684116,NA,NA,"ok"
"15","regression_bytype","total_4yr","University hospital",0.0911231963502796,NA,NA,"ok"
