"","finess_geo","n_patients","n_infected","prevalence","date"
"1","010000024",68,0,0,2024-01-07
"2","010000032",11,0,0,2024-01-07
"3","010000065",5,0,0,2024-01-07
"4","010000099",1,0,0,2024-01-07
"5","010000107",1,0,0,2024-01-07
"6","010000115",1,0,0,2024-01-07
"7","010000131",1,0,0,2024-01-07
"8","010000180",1,0,0,2024-01-07
"9","010000214",4,0,0,2024-01-07
"10","010005239",28,0,0,2024-01-07
"11","010007300",5,0,0,2024-01-07
"12","010780195",23,0,0,2024-01-07
"13","010780203",24,0,0,2024-01-07
"14","020000089",2,0,0,2024-01-07
"15","020000097",3,0,0,2024-01-07
"16","020000105",2,0,0,2024-01-07
"17","020000162",76,0,0,2024-01-07
"18","020000246",1,0,0,2024-01-07
"19","020000360",6,0,0,2024-01-07
"20","020000394",57,0,0,2024-01-07
"21","020000519",61,0,0,2024-01-07
"22","020000535",25,0,0,2024-01-07
"23","020001061",41,0,0,2024-01-07
"24","020001087",13,0,0,2024-01-07
"25","020010047",8,0,0,2024-01-07
"26","030000061",33,0,0,2024-01-07
"27","030000079",52,0,0,2024-01-07
"28","030000087",45,0,0,2024-01-07
"29","030000095",1,0,0,2024-01-07
"30","030007942",1,0,0,2024-01-07
"31","030780548",6,0,0,2024-01-07
"32","030781116",7,0,0,2024-01-07
"33","030785430",6,0,0,2024-01-07
"34","040000036",1,0,0,2024-01-07
"35","040000044",1,0,0,2024-01-07
"36","040000093",22,0,0,2024-01-07
"37","040000119",1,0,0,2024-01-07
"38","040000127",1,0,0,2024-01-07
"39","040000135",3,0,0,2024-01-07
"40","040000911",23,0,0,2024-01-07
"41","040780470",3,0,0,2024-01-07
"42","050000090",4,0,0,2024-01-07
"43","050000223",1,0,0,2024-01-07
"44","050000231",15,0,0,2024-01-07
"45","050000256",3,0,0,2024-01-07
"46","050000348",42,0,0,2024-01-07
"47","060000163",1,0,0,2024-01-07
"48","060000304",1,0,0,2024-01-07
"49","060000411",1,0,0,2024-01-07
"50","060000478",44,0,0,2024-01-07
"51","060000486",1,0,0,2024-01-07
"52","060000494",1,0,0,2024-01-07
"53","060000510",47,0,0,2024-01-07
"54","060000528",27,0,0,2024-01-07
"55","060000544",55,0,0,2024-01-07
"56","060001625",1,0,0,2024-01-07
"57","060002102",8,0,0,2024-01-07
"58","060010899",5,0,0,2024-01-07
"59","060021417",5,0,0,2024-01-07
"60","060780442",2,0,0,2024-01-07
"61","060780491",7,0,0,2024-01-07
"62","060780517",11,0,0,2024-01-07
"63","060780590",3,0,0,2024-01-07
"64","060780715",13,0,0,2024-01-07
"65","060780723",7,0,0,2024-01-07
"66","060780756",9,0,0,2024-01-07
"67","060780947",12,0,0,2024-01-07
"68","060781200",6,0,0,2024-01-07
"69","060785003",83,0,0,2024-01-07
"70","060788957",6,0,0,2024-01-07
"71","060789195",56,0,0,2024-01-07
"72","060791811",8,0,0,2024-01-07
"73","060794013",4,0,0,2024-01-07
"74","060800166",8,0,0,2024-01-07
"75","070000013",25,0,0,2024-01-07
"76","070000021",1,0,0,2024-01-07
"77","070000039",1,0,0,2024-01-07
"78","070000047",1,0,0,2024-01-07
"79","070000062",1,0,0,2024-01-07
"80","070000070",2,0,0,2024-01-07
"81","070000096",1,0,0,2024-01-07
"82","070000112",1,0,0,2024-01-07
"83","070000179",23,0,0,2024-01-07
