"","date","total_patients","total_infected","overall_prevalence"
"1",2024-01-07,25066,1,0.0000398946780499481
"2",2024-01-08,25066,1,0.0000398946780499481
"3",2024-01-09,25066,1,0.0000398946780499481
"4",2024-01-10,25066,2,0.0000797893560998963
"5",2024-01-11,25066,2,0.0000797893560998963
"6",2024-01-12,25066,2,0.0000797893560998963
"7",2024-01-13,25066,2,0.0000797893560998963
"8",2024-01-14,25066,4,0.000159578712199793
"9",2024-01-15,25066,5,0.000199473390249741
"10",2024-01-16,25066,5,0.000199473390249741
"11",2024-01-17,25066,5,0.000199473390249741
"12",2024-01-18,25066,7,0.000279262746349637
"13",2024-01-19,25066,7,0.000279262746349637
"14",2024-01-20,25066,7,0.000279262746349637
"15",2024-01-21,25066,8,0.000319157424399585
"16",2024-01-22,25066,9,0.000359052102449533
"17",2024-01-23,25066,10,0.000398946780499481
"18",2024-01-24,25066,12,0.000478736136599378
"19",2024-01-25,25066,13,0.000518630814649326
"20",2024-01-26,25066,15,0.000598420170749222
"21",2024-01-27,25066,18,0.000718104204899066
"22",2024-01-28,25066,19,0.000757998882949015
"23",2024-01-29,25066,22,0.000877682917098859
"24",2024-01-30,25066,26,0.00103726162929865
"25",2024-01-31,25066,29,0.0011569456634485
"26",2024-02-01,25066,31,0.00123673501954839
"27",2024-02-02,25066,36,0.00143620840979813
"28",2024-02-03,25066,37,0.00147610308784808
"29",2024-02-04,25066,40,0.00159578712199793
"30",2024-02-05,25066,44,0.00175536583419772
"31",2024-02-06,25066,45,0.00179526051224767
"32",2024-02-07,25066,50,0.00199473390249741
"33",2024-02-08,25066,55,0.00219420729274715
"34",2024-02-09,25066,59,0.00235378600494694
"35",2024-02-10,25066,61,0.00243357536104684
"36",2024-02-11,25066,67,0.00267294342934653
"37",2024-02-12,25066,71,0.00283252214154632
"38",2024-02-13,25066,76,0.00303199553179606
"39",2024-02-14,25066,79,0.0031516795659459
"40",2024-02-15,25066,82,0.00327136360009575
"41",2024-02-16,25066,89,0.00355062634644538
"42",2024-02-17,25066,90,0.00359052102449533
"43",2024-02-18,25066,95,0.00378999441474507
"44",2024-02-19,25066,99,0.00394957312694487
"45",2024-02-20,25066,101,0.00402936248304476
"46",2024-02-21,25066,104,0.00414904651719461
"47",2024-02-22,25066,108,0.0043086252293944
"48",2024-02-23,25066,110,0.00438841458549429
"49",2024-02-24,25066,115,0.00458788797574404
"50",2024-02-25,25066,116,0.00462778265379398
"51",2024-02-26,25066,123,0.00490704540014362
"52",2024-02-27,25066,128,0.00510651879039336
"53",2024-02-28,25066,130,0.00518630814649326
"54",2024-02-29,25066,137,0.00546557089284289
"55",2024-03-01,25066,142,0.00566504428309264
"56",2024-03-02,25066,147,0.00586451767334238
"57",2024-03-03,25066,147,0.00586451767334238
"58",2024-03-04,25066,154,0.00614378041969201
"59",2024-03-05,25066,158,0.00630335913189181
"60",2024-03-06,25066,161,0.00642304316604165
"61",2024-03-07,25066,164,0.00654272720019149
"62",2024-03-08,25066,165,0.00658262187824144
"63",2024-03-09,25066,168,0.00670230591239129
"64",2024-03-10,25066,172,0.00686188462459108
"65",2024-03-11,25066,175,0.00698156865874092
"66",2024-03-12,25066,178,0.00710125269289077
"67",2024-03-13,25066,180,0.00718104204899066
"68",2024-03-14,25066,184,0.00734062076119046
"69",2024-03-15,25066,186,0.00742041011729035
"70",2024-03-16,25066,190,0.00757998882949015
"71",2024-03-17,25066,190,0.00757998882949015
"72",2024-03-18,25066,190,0.00757998882949015
"73",2024-03-19,25066,191,0.00761988350754009
"74",2024-03-20,25066,192,0.00765977818559004
"75",2024-03-21,25066,193,0.00769967286363999
"76",2024-03-22,25066,193,0.00769967286363999
"77",2024-03-23,25066,193,0.00769967286363999
"78",2024-03-24,25066,192,0.00765977818559004
"79",2024-03-25,25066,192,0.00765977818559004
"80",2024-03-26,25066,193,0.00769967286363999
"81",2024-03-27,25066,193,0.00769967286363999
