"","date","total_patients","total_infected","overall_prevalence","n_hospitals_with_case"
"1",2024-01-07,25012,1,0.0000399808092115784,1
"2",2024-01-08,25012,1,0.0000399808092115784,1
"3",2024-01-09,25012,1,0.0000399808092115784,1
"4",2024-01-10,25012,1,0.0000399808092115784,1
"5",2024-01-11,25012,1,0.0000399808092115784,1
"6",2024-01-12,25012,1,0.0000399808092115784,1
"7",2024-01-13,25012,2,0.0000799616184231569,1
"8",2024-01-14,25012,2,0.0000799616184231569,1
"9",2024-01-15,25012,2,0.0000799616184231569,1
"10",2024-01-16,25012,2,0.0000799616184231569,1
"11",2024-01-17,25012,3,0.000119942427634735,1
"12",2024-01-18,25012,4,0.000159923236846314,2
"13",2024-01-19,25012,4,0.000159923236846314,2
"14",2024-01-20,25012,5,0.000199904046057892,3
"15",2024-01-21,25012,6,0.000239884855269471,3
"16",2024-01-22,25012,7,0.000279865664481049,3
"17",2024-01-23,25012,8,0.000319846473692628,3
"18",2024-01-24,25012,9,0.000359827282904206,4
"19",2024-01-25,25012,11,0.000439788901327363,4
"20",2024-01-26,25012,12,0.000479769710538941,4
"21",2024-01-27,25012,16,0.000639692947385255,4
"22",2024-01-28,25012,17,0.000679673756596833,4
"23",2024-01-29,25012,18,0.000719654565808412,5
"24",2024-01-30,25012,22,0.000879577802654726,4
"25",2024-01-31,25012,22,0.000879577802654726,5
"26",2024-02-01,25012,23,0.000919558611866304,5
"27",2024-02-02,25012,26,0.00103950103950104,6
"28",2024-02-03,25012,28,0.0011194626579242,6
"29",2024-02-04,25012,34,0.00135934751319367,7
"30",2024-02-05,25012,36,0.00143930913161682,10
"31",2024-02-06,25012,40,0.00159923236846314,11
"32",2024-02-07,25012,44,0.00175915560530945,11
"33",2024-02-08,25012,49,0.00195905965136734,13
"34",2024-02-09,25012,54,0.00215896369742524,14
"35",2024-02-10,25012,56,0.00223892531584839,14
"36",2024-02-11,25012,61,0.00243882936190628,15
"37",2024-02-12,25012,64,0.00255877178954102,16
"38",2024-02-13,25012,66,0.00263873340796418,15
"39",2024-02-14,25012,70,0.00279865664481049,17
"40",2024-02-15,25012,73,0.00291859907244523,18
"41",2024-02-16,25012,76,0.00303854150007996,19
"42",2024-02-17,25012,78,0.00311850311850312,21
"43",2024-02-18,25012,83,0.00331840716456101,21
"44",2024-02-19,25012,90,0.00359827282904206,22
