"approach","run","group","beta","beta_lo","beta_hi","c_tau","c_tau_p","n_obs","region_fe","flag","year","c_tau_se","c0"
"A_year_by_year","2019","Long-term",-0.0538842287617787,-0.197735014821636,0.089966557298079,-0.321513231806517,0.675428352993643,12,FALSE,"out_of_range",2019,NA,0.0181552760773208
"A_year_by_year","2019","Short-term",NA,NA,NA,-0.0562862995796803,0.053112027833062,40,TRUE,"non_pos_slope",2019,0.0278274374388618,NA
"A_year_by_year","2020","Long-term",-0.0430593457976003,-0.0977189144139851,0.0116002228187846,-0.604884693088914,0.471633040608174,12,FALSE,"out_of_range",2020,NA,0.0276089487102563
"A_year_by_year","2020","Short-term",0.0239418831224375,-0.0133858991556639,0.0612696654005388,0.0254455379036663,0.354904583286051,40,TRUE,"ok",2020,0.0270327431221242,NA
"A_year_by_year","2021","Long-term",-0.0408262257869855,-0.0894190262528971,0.00776657467892616,-0.630178552706086,0.469427840949355,12,FALSE,"out_of_range",2021,NA,0.0273561802321401
"A_year_by_year","2021","Short-term",0.0299763188996872,-0.0155188101954283,0.0754714479948028,0.034260418536508,0.354103195491039,39,TRUE,"ok",2021,0.0363114745593308,NA
"A_year_by_year","2022","Long-term",-0.039614745623367,-0.068596706228263,-0.0106327850184711,-0.633964918608333,0.265564551546908,12,FALSE,"out_of_range",2022,NA,0.0267525112292737
"A_year_by_year","2022","Short-term",NA,NA,NA,-0.0134059327133793,0.750721371601081,39,TRUE,"non_pos_slope",2022,0.0417534658851233,NA
"B_pooled_4yr","4yr_pooled","Long-term",-0.0434101438619947,-0.095514235684913,0.00869394796092365,-0.535412954432914,0.443456973934363,12,FALSE,"out_of_range",NA,NA,0.024625849383795
"B_pooled_4yr","4yr_pooled","Short-term",0.00596419381347026,-0.0381278492810922,0.0500562369080327,0.00346839540274501,0.884665120792722,40,TRUE,"ok",NA,0.0236854052069758,NA
