pathogen,level,target_prevalence,beta_within,prev_median,prev_q25,prev_q75,dist,fit_quality
"MRSA
(S. aureus)",Low,0.01,0.015,0.010035183112106189,0,0.025977530785223094,3.518311210618831e-5,Excellent
"MRSA
(S. aureus)",Mid,0.115,0.024,0.12681912681912683,0.015622501199424276,0.22528186470494163,0.011819126819126821,Good
"MRSA
(S. aureus)",High,0.25,0.028,0.2572365264672957,0.08077122980969136,0.3805673276827123,0.007236526467295723,Excellent
"VRE
(E. faecium)",Low,0.005,0.013000000000000001,0.006117063809371502,0.0011194626579241963,0.01645210299056453,0.0011170638093715018,Excellent
"VRE
(E. faecium)",Mid,0.08,0.022000000000000002,0.08330001599232369,0.007276507276507277,0.16664001279385893,0.003300015992323685,Excellent
"VRE
(E. faecium)",High,0.18,0.026000000000000002,0.18868942907404446,0.025677674716136255,0.3372181352950584,0.008689429074044464,Excellent
"ESBL
(E. coli / K. pneumoniae)",Low,0.02,0.017,0.022449224372301298,0.004557812250119942,0.062400047976971046,0.0024492243723012973,Excellent
"ESBL
(E. coli / K. pneumoniae)",Mid,0.12,0.024,0.12681912681912683,0.015622501199424276,0.22528186470494163,0.006819126819126831,Excellent
"ESBL
(E. coli / K. pneumoniae)",High,0.3,0.029,0.2898208859747321,0.05793219254757716,0.4261854309931233,0.010179114025267888,Good
"CRE
(Carbapenem-R Entero.)",Low,0.002,0.011,0.002918599072445226,0,0.008316008316008316,9.18599072445226e-4,Excellent
"CRE
(Carbapenem-R Entero.)",Mid,0.03,0.02,0.03316408124100432,6.396929473852551e-4,0.10379018071325763,0.00316408124100432,Excellent
"CRE
(Carbapenem-R Entero.)",High,0.1,0.023,0.0891771949464257,0.01908084119622581,0.16313169678554293,0.010822805053574303,Good
"CRAB
(Carbapenem-R A. baumanii)",Low,0.01,0.015,0.010035183112106189,0,0.025977530785223094,3.518311210618831e-5,Excellent
"CRAB
(Carbapenem-R A. baumanii)",Mid,0.07,0.022000000000000002,0.08330001599232369,0.007276507276507277,0.16664001279385893,0.01330001599232368,Good
"CRAB
(Carbapenem-R A. baumanii)",High,0.2,0.026000000000000002,0.18868942907404446,0.025677674716136255,0.3372181352950584,0.011310570925955554,Good
