amr_tier,label,n_reps,hosp_median,hosp_q25,hosp_q75,hosp_mean,hosp_ci95_lo,hosp_ci95_hi
Low,6 months,1977,1,0,2,1.4,1.3,1.5
Low,12 months,1977,1,0,4,3.4,3.1,3.6
Low,18 months,1977,0,0,3,2.7,2.5,2.9
Low,24 months,1977,0,0,3,2.4,2.2,2.6
Low,30 months,1977,0,0,3,2.3,2.1,2.5
Low,36 months,1977,0,0,3,2.2,2,2.4
Mid,6 months,506,6,3,9,6.6,6.2,7
Mid,12 months,506,45,30,65,48.1,46.2,50
Mid,18 months,506,38,25,56,41.1,39.4,42.8
Mid,24 months,506,36,24,53,39.3,37.7,40.9
Mid,30 months,506,35,23,52,38.2,36.7,39.8
Mid,36 months,506,34,23,51,37.6,36,39.1
High,6 months,1517,30,14,62,47.1,44.6,49.6
High,12 months,1517,422,216,673,448.1,435.6,460.5
High,18 months,1517,384,193,623,414,402.2,425.7
High,24 months,1517,373,187,604,401,389.6,412.4
High,30 months,1517,367,182,591,392.3,381.2,403.5
High,36 months,1517,360,180,583,386,375,396.9
