amr_tier,label,n_reps,hosp_median,hosp_q25,hosp_q75,hosp_mean,hosp_ci95_lo,hosp_ci95_hi
Low,6 months,753,1,0,2,1.2,1.1,1.3
Low,12 months,753,1,0,3,2.8,2.4,3.1
Low,18 months,753,0,0,3,2.2,1.9,2.5
Low,24 months,753,0,0,2,2,1.7,2.2
Low,30 months,753,0,0,2,1.8,1.6,2.1
Low,36 months,753,0,0,2,1.8,1.5,2
Mid,6 months,174,6,3,9,6.5,5.9,7.1
Mid,12 months,174,45,30,60,46.2,43.2,49.1
Mid,18 months,174,38,25,52,39.3,36.7,41.8
Mid,24 months,174,37,24,50,37.6,35.1,40
Mid,30 months,174,36,22.2,48,36.6,34.2,39.1
Mid,36 months,174,35,22,47,36.1,33.7,38.5
High,6 months,245,12,7,18,13.8,12.7,14.9
High,12 months,245,178,124,237,188.6,178.9,198.4
High,18 months,245,157,110,211,168.8,159.9,177.7
High,24 months,245,152,106,206,163.4,154.8,172.1
High,30 months,245,149,104,203,160.1,151.6,168.6
High,36 months,245,148,103,200,158,149.6,166.3
