"eval_counter";"datetime";"start_id";"objective_value";"best_value";"is_best";"n_rep_obj";"beta_Cancer centre (CLCC)";"beta_General public hospital";"beta_Private for profit hospital";"beta_Private not-for-profit hospital";"beta_Rehabilitation hospital";"beta_University hospital";"inc_sim_Cancer centre (CLCC)";"inc_sim_General public hospital";"inc_sim_Private for profit hospital";"inc_sim_Private not-for-profit hospital";"inc_sim_Rehabilitation hospital";"inc_sim_University hospital";"sse_Cancer centre (CLCC)";"sse_General public hospital";"sse_Private for profit hospital";"sse_Private not-for-profit hospital";"sse_Rehabilitation hospital";"sse_University hospital"
1;"2026-06-30 22:22:47";1;2.07668657448154;2.07668657448154;TRUE;5;0.001;0.001;0.001;0.001;0.001;0.001;0.0411431919934494;0.0472270672771934;0.0453048681392786;0.0436205158754799;0.0456274065680592;0.0479493352327824;0.275635312097135;0.284315908891312;0.435524569054876;0.750656785821443;0.0810964669050293;0.249457531711749
2;"2026-06-30 22:26:53";1;2.00823699576781;2.00823699576781;TRUE;5;0.00199526231496888;0.001;0.001;0.001;0.001;0.001;0.0921273174905179;0.048982735157713;0.050927947995627;0.0477647332378165;0.0499264918700236;0.0466108701875413;0.224700359952511;0.282446702026209;0.428134365357312;0.743492823080683;0.0786664100437138;0.250796335307383
3;"2026-06-30 22:32:29";1;2.02578841011589;2.00823699576781;FALSE;5;0.001;0.00199526231496888;0.001;0.001;0.001;0.001;0.0295225249676581;0.0960501166220162;0.0487911561087394;0.0489201123156843;0.0458444530443829;0.0476337421098304;0.287972280628391;0.234633447625171;0.430935221601694;0.741501682963417;0.080972895447963;0.249772881849256
4;"2026-06-30 22:37:50";1;2.00764289181582;2.00764289181582;TRUE;5;0.001;0.001;0.00199526231496888;0.001;0.001;0.001;0.0546971619509744;0.046706742784381;0.0903561344027844;0.0469779367070609;0.0348608286422864;0.0465090707494753;0.261587087517539;0.284871067006685;0.378091663280087;0.744850288953049;0.0873444779458161;0.250898307112641
5;"2026-06-30 22:42:47";1;1.9791253787503;1.9791253787503;TRUE;5;0.001;0.001;0.001;0.00199526231496888;0.001;0.001;0.0533906279491733;0.0460454272619482;0.0457412733200716;0.0967984066549761;0.0431614701364189;0.0455805457236818;0.262925263468128;0.285577436368358;0.434948754544318;0.661337544414547;0.082507018952389;0.251829361002557
6;"2026-06-30 22:47:52";1;2.0393763928079;1.9791253787503;FALSE;5;0.001;0.001;0.001;0.001;0.00199526231496888;0.001;0.040704986459348;0.0480522135643162;0.0488513156568027;0.0483663667440783;0.0920480032105747;0.0476869582138128;0.276095628539224;0.28343663260427;0.43085624096033;0.742455655669669;0.056812542279005;0.249719692755406
7;"2026-06-30 22:53:31";1;2.02859253028787;1.9791253787503;FALSE;5;0.001;0.001;0.001;0.001;0.001;0.00199526231496888;0.0425055694169093;0.046607129123038;0.0484251593131526;0.0458890806839622;0.036630488158595;0.0946814260830342;0.274206645115057;0.284977411154501;0.431415877553739;0.746730942616671;0.0863015957827547;0.204960058065151
8;"2026-06-30 22:58:31";1;1.9688702321862;1.9688702321862;TRUE;5;0.00125892541179417;0.00125892541179417;0.00125892541179417;0.00125892541179417;0.00125892541179417;0.00125892541179417;0.0635240964823696;0.0589995992367442;0.0616512936500668;0.0613193384959206;0.0612700113950061;0.0601850760090602;0.252635827665888;0.271899971526327;0.414216361310206;0.720301354441398;0.0724319307427699;0.237384786499616
9;"2026-06-30 23:03:37";1;1.9332216435235;1.9332216435235;TRUE;5;0.00141253754462275;0.00141253754462275;0.00141253754462275;0.00141253754462275;0.00141253754462275;0.00141253754462275;0.0697284108459314;0.0667801179976307;0.0661042213614751;0.0657013370640109;0.0648701360112146;0.066736299670125;0.24643738557069;0.26384635614774;0.408504413142702;0.712882502084202;0.0705070755371499;0.231043911041018
10;"2026-06-30 23:08:57";1;1.95778140801539;1.9332216435235;FALSE;5;0.00141253754462275;0.00141253754462275;0.00141253754462275;0.00141253754462275;0.000562341325190349;0.00141253754462275;0.0768646123084229;0.0663051166824701;0.067869456794803;0.0615828349388631;0.0196829768549669;0.0663740417145691;0.23940313899895;0.264334559903649;0.406251051693716;0.719854162009008;0.0965461998776655;0.231392295532401
